Country,Region,Confirmed,Deaths,Vaccinations
Afghanistan,Asia,200469,7807,10961643
Albania,Europe,332503,3589,
Algeria,Africa,270713,6881,
Andorra,Europe,46275,155,
Angola,Africa,103131,1917,14220830
Anguilla,North America,3866,12,10852
Antigua and Barbuda,North America,9098,146,
Argentina,South America,9713594,129958,41326349
Armenia,Asia,444482,8700,
Aruba,North America,44145,230,89874
Australia,Oceania,10278831,15383,22443557
Austria,Europe,5260762,20825,6888567
Azerbaijan,Asia,822186,9928,
Bahamas,North America,37318,833,173208
Bahrain,Asia,683773,1521,1240697
Bangladesh,Asia,2030090,29384,132509030
Barbados,North America,102580,560,
Belarus,Europe,994037,7118,
Belgium,Europe,4575519,32746,9258147
Belize,North America,68884,686,251243
Benin,Africa,27782,163,3207032
Bermuda,North America,18220,148,
Bhutan,Asia,62200,21,698411
Bolivia,South America,1108702,22237,7361008
Bonaire Sint Eustatius and Saba,North America,11366,38,
Bosnia and Herzegovina,Europe,399184,16154,
Botswana,Africa,326344,2790,1589621
Brazil,South America,34724189,686877,187377009
British Virgin Islands,North America,7305,64,
Brunei,Asia,229665,225,
Bulgaria,Europe,1266241,37758,
Burkina Faso,Africa,21631,387,3079151
Burundi,Africa,50225,38,21265
Cambodia,Asia,137936,3056,
Cameroon,Africa,121652,1935,1613061
Canada,North America,4302719,45649,33457272
Cape Verde,Africa,62389,410,
Cayman Islands,North America,30809,34,
Central African Republic,Africa,14957,113,
Chad,Africa,7590,193,3879297
Chile,South America,4655058,61339,18071924
China,Asia,1004398,5226,
Colombia,South America,6308087,141807,
Comoros,Africa,8473,161,438825
Congo,Africa,24837,386,
Cook Islands,Oceania,6389,1,
Costa Rica,North America,1123001,8966,
Cote d'Ivoire,Africa,87438,826,
Croatia,Europe,1238160,16980,2318692
Cuba,North America,1111238,8530,10706053
Curacao,North America,45390,287,108513
Cyprus,Europe,590783,1187,669939
Czechia,Europe,4131060,41281,6975364
Democratic Republic of Congo,Africa,92934,1443,5544728
Denmark,Europe,3311874,7141,4811881
Djibouti,Africa,15690,189,243511
Dominica,North America,15760,74,32995
Dominican Republic,North America,646209,4384,7284863
Ecuador,South America,1006070,35900,
Egypt,Africa,515645,24797,52995443
El Salvador,North America,201785,4230,4652597
Equatorial Guinea,Africa,17040,183,
Eritrea,Africa,10180,103,
Estonia,Europe,603347,2692,867103
Eswatini,Africa,73436,1422,
Ethiopia,Africa,493698,7572,
Faeroe Islands,Europe,34658,28,
Falkland Islands,South America,1930,,
Fiji,Oceania,68245,878,710419
Finland,Europe,1312634,6149,4522137
France,Europe,35937864,155604,54577187
French Polynesia,Oceania,76703,649,190844
Gabon,Africa,48713,306,
Gambia,Africa,12508,372,
Georgia,Asia,1780691,16900,
Germany,Europe,34121168,150720,64792532
Ghana,Africa,169685,1459,11585739
Gibraltar,Europe,20095,108,
Greece,Europe,4975067,33200,7928983
Greenland,North America,11971,21,
Grenada,North America,19536,237,44093
Guatemala,North America,1129542,19836,8807286
Guinea,Africa,37950,455,5194582
Guinea-Bissau,Africa,8831,176,
Guyana,South America,71383,1281,
Haiti,North America,33756,857,
Honduras,North America,456664,10996,6352088
Hong Kong,Asia,1806688,10228,6879691
Hungary,Europe,2107907,47576,6418352
Iceland,Europe,205823,213,
India,Asia,44616394,528822,1026521598
Indonesia,Asia,6446143,158219,204187550
Iran,Asia,7552404,144490,65053044
Iraq,Asia,2460868,25356,
Ireland,Europe,1666048,7959,4097448
Isle of Man,Europe,38008,116,
Israel,Asia,4668642,11710,6718416
Italy,Europe,22830825,177570,50842834
Jamaica,North America,151931,3320,834720
Japan,Asia,21580581,45640,104228721
Jersey,Europe,,,84063
Jordan,Asia,1746997,14122,
Kazakhstan,Asia,1484100,19052,10837933
Kenya,Africa,338506,5678,
Kiribati,Oceania,3430,13,93685
Kosovo,Europe,272097,3200,906350
Kuwait,Asia,660667,2564,3445426
Kyrgyzstan,Asia,206250,2991,1608190
Laos,Asia,216008,758,
Latvia,Europe,939146,6013,
Lebanon,Asia,1216638,10684,2729651
Lesotho,Africa,34490,706,
Liberia,Africa,7974,294,3634393
Libya,Africa,507010,6437,2308724
Liechtenstein,Europe,20143,86,26758
Lithuania,Europe,1257011,9344,1955438
Luxembourg,Europe,294931,1133,481723
Macao,Asia,793,6,
Madagascar,Africa,66687,1410,1649391
Malawi,Africa,88047,2682,
Malaysia,Asia,4856217,36403,28104525
Maldives,Asia,185125,308,399117
Mali,Africa,32697,742,2373752
Malta,Europe,114887,806,478060
Marshall Islands,Oceania,15305,17,
Mauritania,Africa,62920,995,
Mauritius,Africa,263177,1028,
Mexico,North America,7097264,330208,
Micronesia (country),Oceania,20833,49,
Moldova,Europe,590811,11858,
Monaco,Europe,14717,63,
Mongolia,Asia,983610,2131,
Montenegro,Europe,281268,2782,
Montserrat,North America,1403,8,
Morocco,Africa,1265103,16278,25004780
Mozambique,Africa,230312,2222,
Myanmar,Asia,626690,19467,
Namibia,Africa,169253,4080,592708
Nauru,Oceania,4611,1,
Nepal,Asia,999911,12018,27189865
Netherlands,Europe,8463695,22779,
New Caledonia,Oceania,74315,314,191595
New Zealand,Oceania,1800683,2055,4297761
Nicaragua,North America,15092,245,6083967
Niger,Africa,9411,314,3740079
Nigeria,Africa,265816,3155,
North Korea,Asia,1,6,
North Macedonia,Europe,343391,9548,
Norway,Europe,1463093,4121,4345975
Oman,Asia,398424,4628,3279632
Pakistan,Asia,1572778,30619,139432456
Palau,Oceania,5481,6,
Palestine,Asia,702804,5707,
Panama,North America,988280,8505,3503598
Papua New Guinea,Oceania,45133,668,353277
Paraguay,South America,717039,19595,3964564
Peru,South America,4148587,216755,29902223
Philippines,Asia,3969987,63297,
Poland,Europe,6315552,117756,22791645
Portugal,Europe,5502208,25087,9757422
Qatar,Asia,458391,682,2813590
Romania,Europe,3276020,67084,
Russia,Europe,20916112,380451,85355046
Rwanda,Africa,132518,1467,
Saint Helena,Africa,1826,,
Saint Kitts and Nevis,North America,6545,46,
Saint Lucia,North America,29550,404,65298
Saint Pierre and Miquelon,North America,3231,1,
Saint Vincent and the Grenadines,North America,9448,116,
Samoa,Oceania,15942,29,191084
San Marino,Europe,21053,118,
Sao Tome and Principe,Africa,6252,77,
Saudi Arabia,Asia,817838,9369,26892699
Senegal,Africa,88506,1968,1563871
Serbia,Europe,2379620,17093,
Seychelles,Africa,47141,169,
Sierra Leone,Africa,7751,126,3179330
Singapore,Asia,1957916,1632,5161644
Slovakia,Europe,2632434,20481,
Slovenia,Europe,1203345,6842,
Solomon Islands,Oceania,21544,153,311774
Somalia,Africa,27223,1361,5221066
South Africa,Africa,4021386,102194,22345080
South Korea,Asia,24995246,28708,45115681
South Sudan,Africa,17823,138,
Spain,Europe,13441941,114468,41309336
Sri Lanka,Asia,670873,16768,17131785
Sudan,Africa,63344,4962,
Suriname,South America,81114,1385,
Sweden,Europe,2601153,20274,7821474
Switzerland,Europe,4129096,14019,6093079
Syria,Asia,57325,3163,
Taiwan,Asia,6903610,11584,21738916
Tajikistan,Asia,17786,125,
Tanzania,Africa,39513,845,
Thailand,Asia,4685047,32829,57005497
Timor,Asia,23272,138,855487
Togo,Africa,39199,286,2168702
Tonga,Oceania,16182,12,
Trinidad and Tobago,North America,183824,4224,
Tunisia,Africa,1145829,29254,
Turkey,Asia,16919638,101203,57931293
Turks and Caicos Islands,North America,6380,36,
Tuvalu,Oceania,20,,
Uganda,Africa,169396,3630,
Ukraine,Europe,5480098,117050,
United Arab Emirates,Asia,1031179,2346,
United Kingdom,Europe,23735277,207528,
United States,North America,96721113,1062681,264562221
Uruguay,South America,986446,7495,3001585
Uzbekistan,Asia,244334,1637,
Vanuatu,Oceania,11976,14,
Vatican,Europe,29,,
Venezuela,South America,544964,5818,
Vietnam,Asia,11487459,43153,
Wallis and Futuna,Oceania,761,7,
Yemen,Asia,11939,2158,861625
Zambia,Africa,333624,4017,
Zimbabwe,Africa,257749,5604,6421874